Geography,Code
WORLD,900
AFRICA,903
ASIA,935
EUROPE,908
LATIN AMERICA AND THE CARIBBEAN,904
SOUTH AMERICA,931
NORTHERN AMERICA,905
OCEANIA,909
More developed regions,901
Less developed regions,902
Least developed countries,941
"Less developed regions, excluding least developed countries",934
"Less developed regions, excluding China",948
Afghanistan,4
Albania,8
Algeria,12
Angola,24
Antigua and Barbuda,28
Argentina,32
Armenia,51
Aruba,533
Australia,36
Australia/New Zealand,927
Austria,40
Azerbaijan,31
Bahamas,44
Bahrain,48
Bangladesh,50
Barbados,52
Belarus,112
Belgium,56
Belize,84
Benin,204
Bhutan,64
Bolivia (Plurinational State of),68
Bosnia and Herzegovina,70
Botswana,72
Brazil,76
Brunei Darussalam,96
Bulgaria,100
Burkina Faso,854
Burundi,108
Cabo Verde,132
Cambodia,116
Cameroon,120
Canada,124
Caribbean,915
Central African Republic,140
Central America,916
Central Asia,5500
Chad,148
Channel Islands,830
Chile,152
China,156
"China, Hong Kong SAR",344
"China, Macao SAR",446
Colombia,170
Comoros,174
Congo,178
Costa Rica,188
Croatia,191
Cuba,192
Curaçao,531
Cyprus,196
Czech Republic,203
Dem. People's Republic of Korea,408
Democratic Republic of the Congo,180
Denmark,208
Djibouti,262
Dominican Republic,214
Eastern Africa,910
Eastern Asia,906
Eastern Europe,923
Ecuador,218
Egypt,818
El Salvador,222
Equatorial Guinea,226
Eritrea,232
Estonia,233
Ethiopia,231
Fiji,242
Finland,246
France,250
French Guiana,254
French Polynesia,258
Gabon,266
Gambia,270
Georgia,268
Germany,276
Ghana,288
Greece,300
Grenada,308
Guadeloupe,312
Guam,316
Guatemala,320
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Honduras,340
Hungary,348
Iceland,352
India,356
Indonesia,360
Iran (Islamic Republic of),364
Iraq,368
Ireland,372
Israel,376
Italy,380
Ivory Coast,384
Jamaica,388
Japan,392
Jordan,400
Kazakhstan,398
Kenya,404
Kiribati,296
Kuwait,414
Kyrgyzstan,417
Lao People's Democratic Republic,418
Latvia,428
Lebanon,422
Lesotho,426
Liberia,430
Libya,434
Lithuania,440
Luxembourg,442
Madagascar,450
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Martinique,474
Mauritania,478
Mauritius,480
Mayotte,175
Melanesia,928
Mexico,484
Micronesia,954
Micronesia (Fed. States of),583
Middle Africa,911
Mongolia,496
Montenegro,499
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nepal,524
Netherlands,528
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Northern Africa,912
Northern Europe,924
Norway,578
Oman,512
Other non-specified areas,158
Pakistan,586
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Philippines,608
Poland,616
Polynesia,957
Portugal,620
Puerto Rico,630
Qatar,634
Republic of Korea,410
Republic of Moldova,498
Reunion,638
Romania,642
Russian Federation,643
Rwanda,646
Saint Lucia,662
Saint Vincent and the Grenadines,670
Samoa,882
Sao Tome and Principe,678
Saudi Arabia,682
Senegal,686
Serbia,688
Seychelles,690
Sierra Leone,694
Singapore,702
Slovakia,703
Slovenia,705
Solomon Islands,90
Somalia,706
South Africa,710
South Sudan,728
South-Central Asia,921
South-Eastern Asia,920
Southern Africa,913
Southern Asia,5501
Southern Europe,925
Spain,724
Sri Lanka,144
State of Palestine,275
Sub-Saharan Africa,947
Sudan,729
Suriname,740
Swaziland,748
Sweden,752
Switzerland,756
Syrian Arab Republic,760
Tajikistan,762
TFYR Macedonia,807
Thailand,764
Timor-Leste,626
Togo,768
Tonga,776
Trinidad and Tobago,780
Tunisia,788
Turkey,792
Turkmenistan,795
Uganda,800
Ukraine,804
United Arab Emirates,784
United Kingdom,826
United Republic of Tanzania,834
United States of America,840
United States Virgin Islands,850
Uruguay,858
Uzbekistan,860
Vanuatu,548
Venezuela (Bolivarian Republic of),862
Viet Nam,704
Western Africa,914
Western Asia,922
Western Europe,926
Western Sahara,732
Yemen,887
Zambia,894
Zimbabwe,716