"Clinton","Sanders","date"
54,39.3,"2016-03-09"
53.3,39.2,"2016-03-06"
52.4,39.3,"2016-03-02"
51.7,39.4,"2016-02-28"
51.5,39.4,"2016-02-27"
51.1,39.4,"2016-02-25"
50.9,39.5,"2016-02-24"
50.2,39.8,"2016-02-21"
49.6,40.3,"2016-02-17"
49.4,40.5,"2016-02-16"
49.5,40.4,"2016-02-15"
49.5,40.2,"2016-02-14"
49.9,39.3,"2016-02-11"
50,39,"2016-02-10"
50.3,38.3,"2016-02-07"
50.6,37.7,"2016-02-04"
50.7,37.4,"2016-02-03"
50.8,37,"2016-02-01"
50.8,36.9,"2016-01-31"
50.9,36.8,"2016-01-30"
51,36.3,"2016-01-27"
51.2,36.1,"2016-01-24"
51.7,35.7,"2016-01-21"
51.8,35.5,"2016-01-20"
52,35.4,"2016-01-19"
52.1,35.4,"2016-01-18"
52.3,35.4,"2016-01-17"
52.9,35.4,"2016-01-13"
53.3,35.3,"2016-01-11"
53.5,35.3,"2016-01-10"
53.9,35.2,"2016-01-08"
54.1,35.1,"2016-01-07"
54.2,34.9,"2016-01-06"
54.5,34.3,"2016-01-03"
54.8,33.3,"2015-12-30"
55.8,31.4,"2015-12-23"
56,30.8,"2015-12-21"
56,30.6,"2015-12-20"
56,30.4,"2015-12-17"
55.9,30.4,"2015-12-16"
55.9,30.4,"2015-12-15"
55.8,30.4,"2015-12-13"
55.6,30.6,"2015-12-09"
55.6,30.7,"2015-12-08"
55.6,30.8,"2015-12-07"
55.6,30.9,"2015-12-06"
55.6,31.1,"2015-12-04"
55.7,31.4,"2015-12-02"
55.7,31.4,"2015-12-01"
55.7,31.4,"2015-11-30"
55.7,31.3,"2015-11-25"
55.7,31.3,"2015-11-23"
55.9,31.2,"2015-11-19"
55.9,31.1,"2015-11-18"
55.8,31.1,"2015-11-17"
55.7,31.1,"2015-11-16"
55.2,30.8,"2015-11-11"
55.1,30.7,"2015-11-10"
55.1,30.7,"2015-11-09"
55,30.6,"2015-11-08"
54.7,30.6,"2015-11-04"
54.7,30.5,"2015-11-03"
54.6,30.5,"2015-11-02"
54.4,30.3,"2015-11-01"
53.6,29.6,"2015-10-29"
53.4,29.4,"2015-10-28"
53.1,29,"2015-10-27"
52.8,28.7,"2015-10-26"
52.4,28.4,"2015-10-25"
51.1,27,"2015-10-21"
50.5,26.3,"2015-10-19"
50.1,26,"2015-10-18"
49.7,25.8,"2015-10-17"
48.8,25.2,"2015-10-15"
48.4,25.1,"2015-10-14"
47.8,24.9,"2015-10-12"
46.6,24.5,"2015-10-08"
46.3,24.4,"2015-10-07"
45.8,24.3,"2015-10-05"
45.5,24.3,"2015-10-04"
44.8,24.6,"2015-10-01"
44.5,24.7,"2015-09-30"
44.4,24.8,"2015-09-29"
44.2,24.9,"2015-09-28"
44.1,25,"2015-09-27"
44.2,25.3,"2015-09-24"
44.1,25.4,"2015-09-23"
44.2,25.6,"2015-09-22"
44.2,25.7,"2015-09-21"
44.3,25.7,"2015-09-20"
44.4,25.8,"2015-09-19"
44.4,25.8,"2015-09-18"
44.6,25.9,"2015-09-16"
44.7,25.8,"2015-09-15"
44.9,25.5,"2015-09-13"
45.4,24.9,"2015-09-10"
45.5,24.7,"2015-09-09"
45.7,24.5,"2015-09-08"
45.9,24.3,"2015-09-07"
46.6,23.5,"2015-09-02"
46.7,23.5,"2015-09-01"
47,23.4,"2015-08-30"
47.7,23.1,"2015-08-26"
47.9,23,"2015-08-25"
48.6,22.7,"2015-08-22"
49.4,21.9,"2015-08-19"
49.6,21.7,"2015-08-18"
50.1,21.6,"2015-08-16"
50.8,21.1,"2015-08-13"
51.1,20.8,"2015-08-12"
51.9,20.2,"2015-08-09"
53.1,19.3,"2015-08-05"
53.4,19,"2015-08-04"
53.7,18.7,"2015-08-03"
54,18.4,"2015-08-02"
54.9,18,"2015-07-30"
55.1,17.9,"2015-07-29"
55.3,17.8,"2015-07-28"
55.9,17.6,"2015-07-25"
56.4,17.4,"2015-07-21"
56.5,17.4,"2015-07-20"
56.7,17.4,"2015-07-19"
57,17.4,"2015-07-15"
57.1,17.3,"2015-07-14"
57.3,17.3,"2015-07-12"
57.8,16.8,"2015-07-06"
58.4,15.9,"2015-06-29"
58.4,15.7,"2015-06-28"
58.6,14.9,"2015-06-23"
58.7,14.8,"2015-06-22"
58.8,14.3,"2015-06-18"
58.9,14,"2015-06-15"
59,13.8,"2015-06-14"
59.3,13.1,"2015-06-08"
59.6,12.5,"2015-06-02"
59.6,12.3,"2015-06-01"
59.7,12.3,"2015-05-31"
59.9,11.8,"2015-05-26"
59.9,11.7,"2015-05-25"
60.4,10.9,"2015-05-18"
60.5,10.7,"2015-05-16"
60.8,10.3,"2015-05-12"
60.9,10.2,"2015-05-11"
61,10.1,"2015-05-10"
61.4,9.5,"2015-05-04"
61.6,8.7,"2015-04-27"
61.8,8.1,"2015-04-21"
61.8,8,"2015-04-20"
61.8,7.9,"2015-04-19"
61.9,7.3,"2015-04-13"
61.4,6.6,"2015-04-02"
61.4,6.5,"2015-03-31"
61.3,6.4,"2015-03-29"
61.1,6,"2015-03-23"
60.8,5.7,"2015-03-16"
60.7,5.6,"2015-03-15"
60.5,5.3,"2015-03-09"
60.3,5.1,"2015-03-04"
60.2,5,"2015-03-02"
60,4.7,"2015-02-23"
60,4.7,"2015-02-22"
60,4.4,"2015-02-15"
60.5,4.1,"2015-01-27"
60.5,4.1,"2015-01-25"
60.6,4.1,"2015-01-19"
60.8,4,"2015-01-12"
61.3,3.6,"2014-12-21"
61.6,3.4,"2014-12-14"
61.7,3.3,"2014-12-09"
62.2,3.1,"2014-11-23"
62.8,2.7,"2014-10-12"
64.1,,"2014-07-22"
64.1,,"2014-07-20"
64.4,,"2014-06-30"
64.8,1.6,"2014-06-01"
65.3,,"2014-04-15"
65.4,,"2014-03-30"
65.4,,"2014-03-09"
65.3,,"2014-01-26"
65.3,,"2014-01-23"
65.3,,"2014-01-19"
65.2,,"2013-12-16"
65.1,,"2013-12-15"
65,,"2013-12-09"
65,,"2013-12-05"
64.7,,"2013-11-20"
64.3,,"2013-10-31"
64.3,,"2013-10-28"
63.9,,"2013-10-01"
63.9,,"2013-09-29"
63.7,,"2013-09-17"
63.5,,"2013-09-08"
62.8,,"2013-08-02"
62.6,,"2013-07-21"
62.5,,"2013-07-18"
61.4,,"2013-05-27"
61.3,,"2013-05-20"
61.2,,"2013-05-13"
61.1,,"2013-05-09"
60.9,,"2013-04-29"
60.4,,"2013-03-30"
59.4,,"2013-02-03"
59.1,,"2013-01-21"
59,,"2013-01-14"
58.8,,"2013-01-06"
58.1,,"2012-12-02"